Unicode		按	遺		現		擴	Baxter 白一平	TUPA（用現）	遺	現	遺	現
13572	㔄		心鍾入	✓	心三鍾入	✓	心〇三〇鍾入	sjowk	suok		suk1		su
13574	㔆		從覃上	✓	從開一覃上	✓	從開一〇覃上	dzomX	dzom②		zaam6		zan4
13578	㔊		章開仙上	✓	章開三仙上	✓	章開三〇仙上	tsyenX	tjien②		zin2		zhan3
13579	㔋		來談去	✓	來開一談去	✓	來開一〇談去	lamH	lam③		laam6		lan4
13579	㔋		匣銜上	✓	匣開二銜上	✓	匣開二〇銜上	haemX	ghaem②		haam6		xian4
13579	㔋		見銜去	✓	見開二銜去	✓	見開二〇銜去	kaemH	kaem③		gaam3		jian4
13579	㔋		見銜平		見開二銜平	✓	見開二〇銜平	kaem	kaem		gaam1		jian1
13580	㔌		從侯去	✓	從一侯去	✓	從〇一〇侯去	dzuwH	dzou③		zau6		zou4
13580	㔌		從侯平	✓	從一侯平	✓	從〇一〇侯平	dzuw	dzou		cau4		cou2
13581	㔍		初合仙入	✓	初合三仙入	✓	初合三〇仙入	tsrhjwet	tsrhuet		cyut3		chuo
13581	㔍		初合刪入	✓	初合二刪入	✓	初合二〇刪入	tsrhwaet	tsrhwaet		caat3		chua
13582	㔎		心開仙入	✓	心開三仙入	✓	心開三〇仙入	sjet	siet		sit3		xie
13582	㔎		疑開B眞入	✓	疑開三B真入	✓	疑開三B真入	ngit	ngyit		ngat6		yi4
13583	㔏		來開青入	✓	來開四青入	✓	來開四〇青入	lek	lek		lik6		li4
13586	㔒		匣合齊平	✓	匣合四齊平	✓	匣合四〇齊平	hwej	ghwej		wai4		hui2
13587	㔓		見開元上	✓	見開三C元上	✓	見開三C元上	kjonX	kyon②		gin2		jian3
13591	㔗		並微去	✓	並三C微去	✓	並〇三C微去	bj+jH	buj③		fei6		fei4
13593	㔙		幫二庚平	✓	幫二庚平	✓	幫〇二〇庚平	paeng	paeng		bang1		beng1
13597	㔝		來開陽上	✓	來開三陽上	✓	來開三〇陽上	ljangX	lyang②		loeng5		liang3
13598	㔞		溪合皆平	✓	溪合二皆平	✓	溪合二〇皆平	khweaj	khweej		faai1		kuai1
13600	㔠		曉開刪入	✓	曉開二刪入	✓	曉開二〇刪入	xaet	haet		haat3		xia
13601	㔡		幫先入	✓	幫四先入	✓	幫〇四〇先入	pet	pet		bit3		bie
13602	㔢		精合仙入	✓	精合三仙入	✓	精合三〇仙入	tsjwet	tswiet		zyut3		jue
13603	㔣		來灰去	✓	來合一灰去	✓	來合一〇灰去	lwojH	loj③		leoi6		lei4
13603	㔣		來灰平	✓	來合一灰平	✓	來合一〇灰平	lwoj	loj		leoi4		lei2
13605	㔥		並佳上	✓	並二佳上	✓	並〇二〇佳上	beaX	bee②		baai6		bai4
13609	㔩		影覃入	✓	影開一覃入	✓	影開一〇覃入	op	′op		ap3		e
13610	㔪		來模上	✓	來一模上	✓	來〇一〇模上	luX	lo②		lou5		lu3
13614	㔮		泥開一歌平	✓	泥開一歌平	✓	泥開一〇歌平	na	na		no4		nuo2
13615	㔯		邪合仙平	✓	邪合三仙平	✓	邪合三〇仙平	zjwen	zwien		cyun4		xuan2
13618	㔲		見合B脂上	✓	見合三B脂上		見合三B脂上	kwijX	kui②		gwai2		gui3
13620	㔴		以開蒸入	✓	以開三蒸入	✓	以開三〇蒸入	yik	jyk		jik6		yi4
13622	㔶		見一東去	✓	見一東去	✓	見〇一〇東去	kuwngH	koung③		gung3		gong4
13622	㔶		見覃上	✓	見開一覃上	✓	見開一〇覃上	komX	kom②		gam2		gan3
13624	㔸		透開齊平	✓	透開四齊平	✓	透開四〇齊平	thej	thej		tai1		ti1
13625	㔹		來開登入	✓	來開一登入	✓	來開一〇登入	lok	leok		lak6		le4
13627	㔻		滂B脂平	✓	滂三B脂平	✓	滂〇三B脂平	phij	phyi		pei1		pi1
13632	㕀		以尤平		以三尤平	✓	以〇三〇尤平	yuw	ju		jau4		you2
13638	㕆		匣模上	✓	匣一模上	✓	匣〇一〇模上	huX	gho②		wu6		hu4
13638	㕆		端模上	✓	端一模上	✓	端〇一〇模上	tuX	to②		dou2		du3
13639	㕇		來覃入	✓	來開一覃入	✓	來開一〇覃入	lop	lop		laap6		la4
13640	㕈		影咍上	✓	影開一咍上	✓	影開一〇咍上	ojX	′eoj②		oi2		ai3
