㠺	mjiew1
㠽	downg1
㠾	jwon1
㠿	tsje1
㡀	bjiej3
㡁	khwae2
㡅	na2
㡆	xwang1
㡇	trjep4
㡇	tem1
㡇	thep4
㡉	ken1
㡊	kheap4
㡋	jaep4
㡏	srju3
㡏	srju1
㡑	tshjew1
㡑	tsew2
㡒	dwon2
㡒	drwin1
㡒	trwin1
㡓	kwon1
㡔	muwk4
㡔	mu1
㡔	mju3
㡗	dej1
㡗	xej1
㡘	ljem1
㡙	pej1
㡜	sjwet4
㡜	sjet4
㡜	srjej3
㡝	bjowng3
㡟	tshaw1
㡟	tsaw1
㡥	jïn3
㡧	traeng3
㡨	tshjem1
㡨	tsjem1
㡯	draek4
㡲	hwaen1
㡷	pwon2
㡹	tshje3
㡺	tan3
㡼	yij3
㡿	tsyhek4
㢀	tshje3
㢁	tsyhe2
㢂	ngjaem2
㢅	luwng3
㢈	dwoj1
㢊	ea2
㢋	tsyhe2
㢏	duw1
㢒	dzrae1
㢓	tsyang3
㢔	tsuwng2
㢖	phan1
㢗	khjew3
㢚	lu2
㢚	lu1
㢝	su1
㢟	trhjen2
㢟	trhjen1
㢡	tsjang2
㢥	duwng3
㢧	kjiw1
㢨	han3
㢪	u1
㢪	khu1
㢯	twon1
㢰	bje3
㢵	xjaep4
㢸	bit4
㢻	nrjwe3
㢼	pet4
㢾	kwen3
㣁	bij3
㣂	ngeak4
㣅	dzom2
㣆	mjie1
㣇	yij3
㣇	dej3
㣈	sij3
㣌	sraem3
㣎	mjuwk4
㣑	yowng1
㣙	dek4
㣝	sjuwng1
㣟	xjit4
㣤	dzjen2
㣥	dri2
㣫	tsyowng2
㣭	tsuwng1
㣱	dzreak4
㣶	trean1
㣻	ngjoj3
㣿	tsyak4
㣿	tew2
㣿	tek4
㤄	phjot4
㤄	paj3
㤄	phaj3
㤄	phjoj3
㤄	pat4
㤅	oj3
㤆	phjon3
㤇	aw2
㤉	khae1
㤊	haew3
㤊	haew1
㤍	khaew1
㤎	ka1
㤏	downg1
㤒	kaw1
㤕	trhwit4
㤕	trwit4
㤜	xjwit4
㤝	tsyhuwng1
㤞	dak4
㤠	ljet4
㤤	yu2
㤤	yu1
㤥	hoj3
㤨	kjowng2
㤩	khak4
㤮	hjwang3
㤮	kjwang3
㤱	phjuw2
㤱	phjuw3
㤲	khep4
㤴	trhjep4
㤴	tsyhep4
㤸	xek4
㤻	lwon2
㤾	som3
㤿	jiem1
㤿	jaem3
㥁	tok4
㥂	thok4
㥄	ling1
㥆	thwoj3
㥆	thwot4
㥈	dep4
㥊	beang1
㥋	jïj2
㥋	jïj1
㥌	kjuwk4
㥏	then2
㥒	tshoj2
㥓	khje2
㥓	khje1
㥚	yu2
㥚	yu1
㥛	kik4
㥜	hjwïj3
㥝	mjie2
㥟	hea1
㥠	sjo2
㥠	sjo1
㥢	dzjuw1
㥦	khep4
㥨	dzywe2
㥮	tsrhaew2
㥯	jïn2
㥯	jïn3
㥴	ye2
㥴	ye1
㥶	sok4
㥷	ej3
㥽	tsrheak4
㥾	nrit4
㥾	nrik4
㥾	thok4
㦁	ljen1
㦃	tsrhwean2
