	baxter1992	baxter-sagart	jinlixin	lifanggui	msoeg	msoegDK	schuesslerLHC	schuesslerOC	starostinLO	starostinTK	wangli	zhengzhang	zhoufagao	MC
嫽				ljagʷx		rˤeu⸗rˤeuh⸗r[a]uʔ	lew⸗lewᴮ	rjâw⸗rjâwʔ				rewʔ⸗reːw⸗reːws	liaw	來開三宵上⸗來開四蕭去⸗來開四蕭平
澩				grəgʷx⸗grəkʷ		ɡrˤuk					ɣeuk	gruːʔ⸗sgruːg⸗gruːg	grəw⸗grəwk	匣二江入入⸗匣開二肴上⸗崇二江入入
䀊				grəgʷx⸗krəgʷx									grəw⸗krəw	匣開二肴上⸗見開二肴上
姣				kragʷx		krˤeuʔ⸗ɡrˤeu	kawᴮ⸗gaw	krâwʔ⸗grâw			keau	kreːwʔ⸗greːw	graw⸗kraw	匣開二肴平⸗見開二肴上
烄				kragʷx		krˤeuʔ	kawᴮ	krâwʔ				keːws⸗kreːwʔ	kraw	見開二肴上⸗見開一豪去
𤉧				kragʷx									kraw	見開二肴上
瑵				tsragʷx		tsrˤuʔ						ʔsruːʔ	tsraw	莊開二肴上
𥄀				ʔragʷx										影開二肴上
骲				brəgʷx⸗brəkʷ		pʰˤok⸗brˤuʔ⸗brˤuh⸗brˤuk						bruːʔ⸗bruːs⸗bruːg⸗pʰoːg	brəw⸗brəwk	並二江入入⸗並二肴上⸗並二肴去⸗滂一東入入
齩				ŋragʷx		ŋrˤeuʔ					ŋeau	ŋgreːwʔ	ŋraw	疑開二肴上
昦				gəgʷx		ɡˤauʔ						guːʔ	gəw	匣開一豪上
暤				gəgʷx		ɡˤuʔ					ɣu		gəw	匣開一豪上
顥				gagʷx		ɡˤuʔ	gowᴮ	gûʔ			ɣau	guːʔ	gaw	匣開一豪上
灝				gagʷx		ɡˤuʔ					ɣau	guːʔ⸗kuːmʔ	gaw	匣開一豪上⸗見開一覃上
鰝				gagʷx⸗hakʷ		ɡˤauʔ⸗hˤauk						gaːwʔ⸗qʰaːwɢ	gaw⸗xawk	匣開一豪上⸗曉開一唐入入
滈				gagʷx⸗hrakʷ		ɡˤauʔ⸗hrˤauk						gaːwʔ⸗qʰraːwɢ	gaw⸗xrawk	匣開一豪上⸗曉二江入入
獠				lagʷx		rˤauʔ⸗rˤeu	lew	rjâw			lau	reːwʔ⸗ʔr'eːwʔ⸗reːw	leaw⸗traw⸗law	來開四蕭平⸗來開一豪上⸗知開二肴上
轑				lagʷx		rˤauʔ					lau	reːwʔ	law	來開一豪上
橑				lagʷx		rˤauʔ⸗rˤeu	lɑwᴮ⸗lew	râwʔ⸗rjâw				reːwʔ⸗reːw	leaw⸗law	來開四蕭平⸗來開一豪上
䕩				lagʷx		rˤauʔ							law	來開一豪上
䆃				dəgʷx⸗dəgʷh		lˤuʔ⸗lˤuh							dəw⸗dəw	定開一豪上⸗定開一豪去
