	baxter1992	baxter-sagart	jinlixin	lifanggui	msoeg	msoegDK	schuesslerLHC	schuesslerOC	starostinLO	starostinTK	wangli	zhengzhang	zhoufagao	MC
憩	kʰrjats	C.qʰ<r>a[t]-s	kha̠s		kʰʴaθ（qì）	kʰrath	kʰɨ̯as	kʰats	kʰratɕ（qì）	kʰratɕ（qì）	kʰǐat	kʰrads	kʰiar	溪開三B祭去
𨒅	kʰrjek						kʰjek							
泣	kʰrjɨp	k-r̥əp	khre̠p	kʰljəp	kʰɹəp（qì）	kʰrəp	kʰɨp	kʰrəp	kʰrəp（qì）	kʰrəp（qì）	kʰǐəp	kʰrɯb	kʰiəp	溪開三B侵入入
囷	kʰrjun	kʰrun	khru̠n	kʰwjiən	kʰ[wʴə]n（qūn）	kʰrun	kʰuɨn	kʰun		kʰrun（qūn）	kʰǐwən⸗giwən	kʰrun⸗grun	kʰiwən	溪合三B真平
殻	kʰrok													
堪	kʰum	[kʰ]ˤ[ə]m	khom	kʰəm	kʰ(ɫ)ˁəm（kān）	kʰˤəm	kʰəm	kʰə̂m	kʰəːm（kān）		kʰəm	kʰluːm	kʰəm	溪開一覃平
考	kʰuʔ	k-r̥ˤuʔ	khuʔ	kʰəgʷx	kʰˁuʔ（kǎo）	kʰɫˤuʔ	kʰowᴮ	kʰûʔ	kʰúː（kǎo）	kʰuːʔ（kǎo）	kʰu	kʰluːʔ	kʰəw	溪開一豪上
栲	kʰuʔ		khuʔ		kʰˁuʔ（kǎo）	kʰɫˤuʔ	kʰowᴮ	kʰûʔ		kʰuːʔ（kǎo）	kʰu	kʰluːʔ	kʰəw	溪開一豪上
結	kik⸗kit	kˤi[t]	kit	kit	kˁik（jié）	kˤit	ket	kît	kiːt（jié）	kiːt（jié）	kiet	kiːd	ket	見開四先入入
髻	kiks⸗kits	kˤi[t]-s			kˁih（jì）	kˤith	kes⸗ket	kîts⸗kît				kiːds	ker	見開四齊去
堅	kin	kˤi[ŋ]	kin	kin	kˁiŋ（jiān）	kˤin	ken	kîn	kiːn（jiān）	kiːn（jiān）	kien	kiːn	ken	見開四先平
根	kɨn	[k]ˤə[r]		kən	kˁən（gēn）	kˤən	kən	kə̂n	kəːn（gēn）		kən	kɯːn	kən	見開一痕平
恆	kɨŋs	[g]ˤəŋ		gəŋ	gˁəŋ（héng）	ɡˤəŋ		gə̂ŋ⸗kə̂ŋs	gəːŋ（héng）	g⁽ʱ⁾əːŋ（héng）	ɣəŋ		gəŋ	匣開一登平
袺	kit	kˤ<r>i[t]⸗kˤi[t]	kit	krit⸗kit	kʴˁik（jié）⸗kˁik（jié）	kˤit⸗krˤit	ket⸗kɛt	kît⸗krît	kiːt（jié）	kiːt（jié）	kiet	kriːd⸗kiːd	kret⸗ket	見開四先入入⸗見開二山入入
溉	kɨts	[k]ˤə[t]-s		kədh	kˁəθ（gài）	kˤəth⸗kəth	kəs	kə̂s⸗kə̂ts		kəːtɕ（gài）	kəi	kɯːds⸗kɯds	kər	見開一咍去⸗見開三C微去
叫	kiw(k)s	kˤewk-s	kru̠s	kiəgʷh	kˁiuh（jiào）	kˤiuh	kewᶜ	kjûh⸗kîws	kiːwh（jiào）		kiu	kiːws	keəw	見開四蕭去
詹	Kjam⸗tjam	[t]am	ta̠m	tjam	tam（zhān）	tam	tɕam	tam	tam（zhān）	tam（zhān）	ȶǐam	tjam	tjiam	章開三鹽平
彊	kjaŋ	N-kaŋ	ga̠ŋʔ	gjaŋ⸗gjaŋx⸗kjaŋh	gaŋ（qiáng）	ɡaŋ⸗ɡaŋʔ	kɨ̯ɑŋ⸗gɨ̯ɑŋ⸗gɨ̯ɑŋᴮ	kaŋ⸗gaŋ⸗gaŋʔ	gʱaŋ（qiáng）		gǐaŋ⸗gǐaŋ⸗kǐaŋ	kaŋs⸗gaŋ⸗gaŋʔ	gjaŋ⸗gjaŋ⸗kjaŋ	羣開三C陽上⸗羣開三C陽平⸗見開三C陽去
疆	kjaŋ	kaŋ	ka̠ŋ		kaŋ（jiāng）	kaŋ	kɨ̯ɑŋ⸗gɨ̯ɑŋᴮ	kaŋ⸗gaŋʔ	kaŋ（jiāng）	kaŋ（jiāng）	kǐaŋ	kaŋ	kjaŋ	見開三C陽平
支	kje	ke	ki̠	krjig	kɛ（zhī）⸗kɛ（zhī）	ke	tɕe⸗kje	ke	ke（zhī）	ke（zhī）	ȶǐe	kje	tjieɣ	章開三支平
枝	kje	ke	ki̠	krjig	kɛ（zhī）	ke	tɕe⸗kje	ke	ke（zhī）	ke（zhī）	ȶǐe	kje	tjieɣ	章開三支平
勁	kJeŋs	keŋ-s		kjiŋh	kɛŋh（jìng）	keŋh	kjeŋᶜ	keŋh	keŋh（jìn）		kǐeŋ	kɯns⸗keŋs	kjieŋ	見開三A清去
制	kjets	tet-s	ta̠s	tjadh	kɛθ（zhì）	t[e]th	tɕas	tats⸗kets	ketɕ（zhì）		ȶǐat	kjeds	tjiar	章開三祭去
脂	kjij	kij	ki̠r	krjid	ki（zhī）	ki	tɕi⸗ki	ki	kij（zhī）	kij（zhī）	ȶǐei	kji	tjier	章開三脂平
幾	kjɨj	kəj⸗kəjʔ	kɯ̠r⸗kɯ̠rʔ	gjəd⸗kjəd⸗kjədx⸗gjədh	kəi（jī）⸗kəiʔ（jǐ）	kəi⸗kəiʔ⸗ɡəi⸗ɡəih	kɨjᴮ⸗kɨj⸗gɨj	kəjʔ⸗kəj⸗gəj	kəj（jī）	kəjʔ（jǐ）	kǐəi⸗kǐəi⸗gǐəi	kɯl⸗kɯlʔ⸗gɯl⸗gɯls	gjər⸗kjər⸗kjər⸗gjər	見開三C微平⸗見開三C微上⸗羣開三C微平⸗羣開三C微去
旨	kjijʔ	kijʔ	ki̠rʔ	krjidx	kiʔ（zhǐ）	kiʔ	tɕiᴮ⸗kiᴮ	kiʔ	kíj（zhǐ）	kijʔ（zhǐ）	ȶǐei	kjiʔ	tjier	章開三脂上
指	kjijʔ	mə.kijʔ	ki̠rʔ	krjidx	kiʔ（zhǐ）	kiʔ	tɕiᴮ⸗kiᴮ	kiʔ	kíj（zhǐ）	təjʔ（zhǐ）	ȶǐei	kjiʔ	tjier	章開三脂上
鍼	Kjɨm⸗Kjum	t.[k]əm	gu̠m	krjəm	kim（zhēn）	kim	tɕim⸗kim	kim	kim（zhēn）		gǐəm	gam⸗gram⸗kjɯm	tjiəm	章開三侵平⸗羣開三A鹽平⸗羣開三B鹽平
矜	kjiŋ⸗kʷrin	k-riŋ⸗griŋ	kriŋ⸗grin		kɹiŋ（jīn）⸗kɹiŋ（jīn）⸗gʴiŋ（qín）	kriŋ	gɨn⸗kʷɛn	grin⸗kʷrîn	kriŋ（jīn）	grin（qín）	kǐəm	grɯn⸗gɯn⸗kɯŋ	kiəŋ	見開三C蒸平
吉	kJit	C.qi[t]⸗ki[t]	ki̠t	kjit	kik（jí）	kit	kit	kit	kit（jí）	kit（jí）	kǐet	klid	kjiet	見開三A真入入
蕨	kjot	Cə.kot	ko̠t	kjuat	k[wa]t（jué）	kwat	kɥɑt	kot	kwat（jué）	kʷat（jué）	kǐwat	kod	kjiwat	見合三C元入入
椹	Kjum	tr[ə]m			tʴəm（zhēn）	trəm	ʈim	trəm			tǐəm	ʔl'um⸗tum	tiəm	知開三侵平
枕	Kjumʔ	[t.k][ə]mʔ⸗[t.k][ə]mʔ-s	tu̠mʔ	tjəmx⸗tjəmh	təmʔ（zhěn）⸗təmh（zhèn）	təmʔ⸗drəm	tɕimᴮ⸗kimᴮ	kimʔ	tə́m（zhěn）	təmʔ（zhěn）	ȶǐəm⸗ȶǐəm	l'um⸗ʔljumʔ⸗ʔljums	tjiəm⸗tjiəm	澄開三侵平⸗章開三侵上⸗章開三侵去
君	kjun	C.qur	ku̠n	kwjən	kul（jūn）	kɫun	kun	kʷən	kun（jūn）	kur（jūn）	kǐwən	klun	kjwən	見合三C文平
貴	kjuts	kuj-s	qu̠s	kwjədh	kuθ（guì）	kuih	kus	kʷəs	kwətɕ（guì）		kǐwəi	kluds	kjwər	見合三C微去
擔	k-lam(s)⸗tam(s)	mə-tˤam⸗tˤam⸗mə-tˤam-s			tˁam（dān）⸗tˁam（dàn）⸗tˁamh（dàn）	tˤam⸗tˤamh	tɑm⸗tɑmᶜ⸗dʑam	tâm⸗tlam⸗tâms⸗dam	taːm（dān）		tam⸗tam	taːm⸗taːms	tam	端開一談去⸗端開一談平
戴	k-lɨks⸗tɨ(k)s	Cə.tˤək-s		təgh	tˁəh（dài）	tˤəkh	təᶜ	tə̂h	təːh（dài）		tə	ʔl'ɯːgs	təɣ	端開一咍去
湛	k-lɨm		tum	drjəm⸗təm⸗drəmx	tˁəm（zhàn）	tˤəm⸗drˤəmʔ⸗drəm	ɖɛmᴮ⸗təm⸗tsjam	drə̂mʔ⸗tə̂m⸗tsem⸗tsam		təːm（zhàn）	dǐəm⸗təm⸗deəm	ʔl'uːm⸗r'uːmʔ⸗l'um⸗dum	diəm⸗təm⸗drəm	澄開三侵平⸗澄開二咸上⸗端開一覃平
中	k-ljuŋ	truŋ⸗truŋ-s	tru̠ŋ	trjəŋʷ⸗trjəŋʷh	tʴuŋ（zhōng）⸗tʴuŋh（zhòng）	truŋ⸗truŋh	ʈuŋ⸗ʈuŋᶜ	truŋ⸗truŋh	truŋ（zhōng）⸗truŋh（zhòng）	truŋ（zhōng）	tǐuŋ⸗tǐuŋ	tuŋ⸗tuŋs	tiəwŋ⸗tiəwŋ	知三東平⸗知三東去
答	k-lup	[t]ˤ[u]p	tup		tˁəp（dá）	tˤəp	təp	tə̂p⸗tûp	təːp（dá）		təp	tkuːb⸗kl'uːb	təp	端開一覃入入
荅	k-lup	[t]ˤ[ə]p		təp	tˁəp（dá）	tˤəp	təp	tə̂p	təːp（dá）			tkuːb⸗kl'uːb	təp	端開一覃入入
對	k-lups⸗tups⸗tuts	[t]ˤ[u]p-s	tus	təbh	tˁuθ（duì）	tˤəph	tʷəs	tûts	twəːtɕ（duì）	tuːtɕ（duì）	tuəi	tuːbs	twər	端合一灰去
蜾	kojʔ⸗kʷajʔ	kˤorʔ		kwarx	kˁɔiʔ（guǒ）	[kɫ]ˤoiʔ	kʷɑjᴮ⸗lʷɑjᴮ	kôjʔ⸗rôjʔ	kwáːj（guǒ）		kuai	kloːlʔ	kwa	見合一歌上
轂	kok	[k]ˤok		kuk	kˁɔk（gǔ）	kˤok	kok	kôk	koːk（gǔ）	koːk（gǔ）	kɔk	kloːg	kewk	見一東入入
谷	kok	C.qˤok	qok	kuk⸗luk⸗grjuk⸗gjak	kɫˁɔk（gǔ）	kɫˤok⸗lok	kok⸗jok⸗lok	klôk⸗klok⸗lok	koːk（gǔ）	kloːk（gǔ）	kɔk⸗ʎǐwɔk	ɦkroːg⸗g·roːg⸗kloːg⸗g·loːg⸗log	kewk⸗lewk⸗ɣriewk⸗gjak	見一東入入⸗羣開三C陽入入⸗來一東入入⸗以三鍾入入
穀	kok	[k]ˤok		kuk	kˁɔk（gǔ）	kˤok	kok	kôk	koːk（gǔ）	koːk（gǔ）	kɔk	kloːg	kewk	見一東入入
感	komʔ	kˤ[ə]mʔ		kəmx	kˁəmʔ（gǎn）	kˤəmʔ	kəmᴮ	kə̂mʔ	kə́ːm（gǎn）		kəm	kɯːmʔ	kəm	見開一覃上
冠	kon(s)	[k.ʔ]ˤor⸗k.ʔˤor-s	kon	kwan⸗kwanh	k[wˁa]n（guān）⸗k[wˁa]nh（guàn）	kˤon⸗kˤonh	kʷɑn⸗kʷɑnᶜ	kôn⸗kôns	kwaːn（guān）	kʷaːn（guān）	kuan⸗kuan	kŋoːn⸗koːn⸗kŋoːns⸗koːn	kwan⸗kwan	見合一寒去⸗見合一寒平
工	koŋ	kˤoŋ	koŋ	kuŋ	kˁɔŋ（gōng）⸗kˁɔŋ（gōng）	kˤoŋ	koŋ	kôŋ⸗kloŋ	koːŋ（gōng）		kɔŋ	koːŋ	kewŋ	見一東平
公	koŋ	C.qˤoŋ	qoŋ	kuŋ	kɫˁɔŋ（gōng）⸗kɫˁɔŋ（gōng）	kɫˤoŋ	koŋ	klôŋ⸗kôŋ	koːŋ（gōng）	kloːŋ（gōng）	kɔŋ	kloːŋ	kewŋ	見一東平
功	koŋ	kˤoŋ	koŋ	kuŋ	kˁɔŋ（gōng）	kˤoŋ	koŋ	kôŋ⸗kloŋ	koːŋ（gōng）	koːŋ（gōng）	kɔŋ	koːŋ	kewŋ	見一東平
攻	koŋ	kˤoŋ	koŋ	kuŋ	kˁɔŋ（gōng）	kˤoŋ⸗kˤuŋ	koŋ⸗kowŋ	kôŋ⸗kûŋ	koːŋ（gōng）	koːŋ（gōng）	kɔŋ	koːŋ⸗kuːŋ	kewŋ⸗kəwŋ	見一東平⸗見一冬平
觀	kons⸗kʷans	C.qʷˤar⸗C.qʷˤar-s	kon	kwan⸗kwanh	kwˁal（guān）⸗kwˁalh（guàn）⸗kwˁalh（guàn）	kwˤan⸗kwˤanh	kʷɑn⸗kʷɑnᶜ	kʷân⸗kʷâns			kuan⸗kuan	koːn⸗koːns	kwan⸗kwan	見合一寒平⸗見合一寒去
館	kons	[k]ˤo[n]ʔ-s	kons	kwanh	k[wˁa]nh（guǎn）	kwˤanh	kʷɑnᶜ	kôns		kʷaːnh（guǎn）	kuan	koːnʔ⸗koːns	kwan	見合一寒去
貫	kons	kˤo[n]⸗kˤon-s	kons	kwan⸗kwanh	kɫˁɔn（guàn）⸗kɫˁɔnh（guàn）	kɫˤon⸗[kɫ]ˤonh	kʷɑn⸗kʷɑnᶜ⸗kʷanᶜ	kôns⸗krôns	kwaːn（guàn）	kʷaːnh（guàn）	kuan	koːn⸗koːns	kwan⸗kwan	見合一寒平⸗見合一寒去
𩜌	kons						ʔɥɑt⸗ʔut	ʔot⸗ʔut						
筦	konʔ	[k]ˤo[n]ʔ	konʔ	kwanx	k[wˁa]nʔ（guǎn）	kˤonʔ❓	kʷɑnᴮ	kônʔ	kwáːn（guǎn）		kuan	ŋkoːnʔ⸗kŋoːnʔ	kwan	見合一寒上
管	konʔ⸗kʷanʔ	[k]ˤo[n]ʔ⸗kʷˤa[n]ʔ	konʔ	kwanx	k[wˁa]nʔ（guǎn）⸗k[wˁa]nʔ（guǎn）⸗k[wˁa]nʔ（guǎn）	kwˤanʔ	kʷɑnᴮ	kônʔ	kwáːn（guǎn）	kʷaːnʔ（guǎn）	kuan	koːnʔ	kwan	見合一寒上
家	kra	kˤra	k/l/a	krag	kʴˁa（jiā）	krˤa	ka	krâ	kraː（jiā）	kraː（jiā）	kea	kraː	kraɣ	見開二麻平
葭	kra		kra	krag	kʴˁa（jiā）	krˤa	ka	krâ	kraː（jiā）	kraː（jiā）	kea	kraː	kraɣ	見開二麻平
加	kraj	kˤraj	krar	krar	kʴˁai（jiā）	krˤai	ka⸗kaj	krâj		kraːj（jiā）	keai	kraːl	kra	見開二麻平
珈	kraj		krar		kʴˁai（jiā）	krˤai	ka⸗kaj	krâj	kraːj（jiā）	kraːj（jiā）		kraːl	kra	見開二麻平
嘉	kraj	kˤ<r>aj	krar	krar	kʴˁai（jiā）	krˤai	kajᶜ	krâj	kraːj（jiā）	kraːj（jiā）	keai	kraːl	kra	見開二麻平
駕	krajs	kˤraj-s	krars	krarh	kʴˁaih（jià）	krˤaih	kajᶜ	krâjh	kraːjh（jià）	kraːjh（jià）	keai	kraːls	kra	見開二麻去
格	krak	kˤrak	klak	kak⸗krak	k[ɹ]ˁak（gé）	k(ɫ)ˤak⸗krˤak	kak⸗gak⸗kɑk	krâk⸗grâk⸗kâk	kraːk（gé）	kraːk（gé）	keak	klaːg⸗kraːg	kak⸗krak	見開二庚入入⸗見開一唐入入
監	kram	[k]ˤram⸗kˤram-s	kram	kram⸗kramh	k[ɹ]ˁam（jiān）⸗k[ɹ]ˁamh（jiàn）	krˤam⸗krˤamh	kam⸗kamᶜ	krâm⸗krâms	kraːm（jiān）	kraːm（jiān）	keam⸗keam	kraːm⸗kraːms	kram⸗kram	見開二銜去⸗見開二銜平
姦	kran	[k]ˤran		kran	kʴˁan（jiān）	krˤan	kan	krân	kraːn（jiān）		kean	kraːn	kran	見開二刪平
菅	kran		kran	kran	kʴˁan（jiān）	krˤan❓	kan	krân	kraːn（jiān）	kraːn（jiān）	kean	kroːn	kran	見開二刪平
庚	kraŋ	kˤraŋ	kraŋ	kraŋ	kɹˁaŋ（gēng）	krˤaŋ	kaŋ	krâŋ	kraːŋ（gēng）	kraːŋ（gēng）	keaŋ	kraːŋ	kraŋ	見開二庚平
羮	kraŋ													
更	kraŋ	kˤraŋ⸗kˤraŋ-s	kraŋ	kraŋ⸗kraŋh	kɹˁaŋ（gēng）⸗kɹˁaŋh（gèng）	krˤaŋ⸗krˤaŋh	kaŋ⸗kaŋᶜ	krâŋ⸗krâŋh	kraːŋ（gèng）		keaŋ	kraːŋ⸗kraːŋs	kraŋ⸗kraŋ	見開二庚平⸗見開二庚去
梗	kraŋʔ	kˤraŋʔ	kraŋʔ	kraŋx	kɹˁaŋʔ（gěng）	krˤaŋʔ	kaŋᴮ	krâŋʔ	kráːŋ（gěng）	kraːŋʔ（gěng）	keaŋ	kraːŋʔ	kraŋ	見開二庚上
澗	krans	[k]ˤra[n]-s⸗[k]ˤra[n]❓	krans		kɹˁ[a]nh（jiàn）	krˤanh			kraːnh（jiàn）	kraːnh（jiàn）		kreːns⸗kraːns		見開二刪去
諫	krans⸗kranʔ(s)	kˤranʔ(-s)⸗kˤranʔ	krans	kranh	kɹˁanh（jiàn）	krˤanh	kanᶜ	krâns	kraːnh（jiàn）	kraːnh（jiàn）	kean	kraːns	kran	見開二刪去
簡	kranʔ	kˤre[n]ʔ	kranʔ	krianx	kɹˁɛnʔ（jiǎn）⸗kɹˁɛnʔ（jiǎn）	krˤenʔ	kɛnᴮ	krênʔ	kréːn（jiǎn）		kean	kreːnʔ	krian	見開二山上
甲	krap	[k]ˤr[a]p	krap	krap	kʴˁap（jiǎ）	krˤap	kap	krâp	kraːp（jiǎ）	kraːp（jiǎ）	keap	kraːb	krap	見開二銜入入
稼	kras	kˤra-s	k/l/ah	kragh	kʴˁah（jià）	krˤah	kaᶜ	krâh		kraːh（jià）	kea	kraːs	kraɣ	見開二麻去
郊	kraw	[k]ˤraw	krɯ	kragʷ	kʴˁ[a]u（jiāo）	krˤeu	kaw	krâw	kraːw（jiāo）	kraːw（jiāo）	keau	kreːw	kraw	見開二肴平
教	kraw(k)s	s.[k]ˤraw⸗s.kˤraw-s	krɯ⸗krɯh	kragʷ⸗kragʷh	kʴˁau（jiāo）⸗kʴˁauh（jiào）	krˤauh	kawᶜ	krâwh		kraːwh（jiào）	keau⸗keau		kraw⸗kraw	見開二肴去⸗見開二肴平
較	krawk		krɯk	kragʷh⸗krakʷ	kʴˁauk（jiào）	krˤeu	kɔk⸗kawᶜ	krâwk⸗krâwkh	kraːuk（jiào）	kraːkʷ（jiào）	keau⸗keauk	kreːwɢs⸗kreːwɢ	kraw⸗krawk	見二江入入⸗見開二肴去
嘏	kraʔ			kragx	kʴˁaʔ（jiǎ）	krˤaʔ	kaᴮ	krâʔ		kraːʔ（jiǎ）	kea	kraːʔ	kraɣ	見開二麻上
假	kraʔ	Cə.kˤraʔ⸗kˤraʔ	kraʔ	kragx⸗kragh	kʴˁaʔ（jiǎ）⸗kʴˁaʔ（jiǎ）	krˤaʔ⸗krˤah	kaᴮ	krâʔ	kráː（jiǎ）		kea⸗kea	kraːʔ⸗kraːs	kraɣ⸗kraɣ	見開二麻去⸗見開二麻上
斝	kraʔ	[k]ˤraʔ	kraʔ	kragx	kʴˁaʔ（jiǎ）	krˤaʔ	kaᴮ	krâʔ	kráː（jiǎ）	kraːʔ（jiǎ）	kea	kraːʔ	kraɣ	見開二麻上
佳	kre	[k]ˤre		krig	kʴˁɛ（jia）	krˤe	kɛ	krê			ke	kreː	kreɣ	見開二佳平
街	kre	[k]ˤre		krig	kʴˁɛ（jiē）	krˤe	kɛ	krê			ke	kreː⸗kreː	kreɣ	見開二佳平⸗見開二皆平
隔	krek	[k]ˤrek		krik	k[ɹ]ˁɛk（gé）	krˤek	kɛk	krêk	kreːk（gé）		kek	kreːg	krek	見開二耕入入
解	kreks⸗kreʔ	kˤreʔ⸗N-kˤreʔ		grigx⸗krigx⸗krigh⸗grigh	gʴˁɛʔ（xiè）⸗gʴˁɛʔ（xiè）⸗kʴˁɛʔ（jiě）	krˤeʔ⸗krˤeh⸗ɡrˤeʔ⸗ɡrˤeh	kɛᴮ⸗kɛᶜ⸗gɛᴮ	krêʔ⸗krêh⸗grêʔ	kréː（jiě）	kreːʔ（jiě）	ɣe⸗ke⸗ke⸗ɣe	kreːʔ⸗kreːs⸗greːʔ⸗greːs	greɣ⸗kreɣ⸗kreɣ⸗greɣ	見開二佳上⸗見開二佳去⸗匣開二佳上⸗匣開二佳去
間	kren	kˤre[n]⸗N-kˤre[n]	kran		gʴˁɛn（xián）⸗kɹˁɛn（jiān）⸗kɹˁɛn（jiān）		kɛn⸗kɛnᶜ	krên⸗krêns	kreːn（jiān）			kreːn⸗kreːns		見開二山去⸗見開二山平
耕	kreŋ	kˤ<r>eŋ	kriŋ	kriŋ	kʴˁɛŋ（gēng）	krˤeŋ	kɛŋ	krêŋ	kreːŋ（gēng）		keŋ	kreːŋ	kreŋ	見開二耕平
夾	krep	kˤ<r>ep		kriap	kʴˁ[ɛ]p（jiā）	krˤep	kɛp⸗kep	krêp⸗kêp	kreːp（jiā）		keap	kreːb	kriap	見開二咸入入
屆	krets	kˤr[i][t]-s			kʴˁih（jiè）	krˤi(k)h		krîts	krəːtɕ（jiè）	kriːtɕ（jiè）		krɯːds		見開二皆去
届	krets		kris	kridh			kɛs	krîs			kei		krer	見開二皆去
皆	krij	kˤrij	krir	krid	kʴˁi（jiē）	krˤəi	kɛj	krî⸗krîʔ	krəːj（jiē）	kriːj（jiē）	kei	kriːl	krer	見開二皆平
階	krij	kˤrij	krir	krid	kʴˁi（jiē）	krˤəi	kɛj	krî	kriːj（jiē）	kriːj（jiē）	kei	kriːl	krer	見開二皆平
喈	krɨj	kˤrəj	krir	krid	kʴˁi（jiē）	krˤəi	kɛj	krî	krəːj（jiē）	krəːj（jiē）	kei	kriːl	krer	見開二皆平
偕	krij(ʔ)	kˤrij	krir	krid	kʴˁi（xié）	krˤəi	kɛj	krîʔ⸗krî	kriːj（xié）	kriːj（xié）	kei	kriːl	krer	見開二皆平⸗匣開二皆平
革	krɨk	kˤrək	krek	krək	kʴˁək（gé）⸗kʴˁək（gé）	krˤək	kɛk⸗kɨ̯ək	krə̂k⸗kək	krəːk（gé）	krəːk（gé）	keək	krɯːg	krək	見開二耕入入
戒	krɨk(s)	kˤrək-s⸗kˤrək	kreh	krəgh	kʴˁəh（jiè）	krˤəkh	kɛᶜ	krə̂h		krəːh（jiè）	keə	krɯːgs	krəɣ	見開二皆去
艱	krɨn	kˤrə[r]	krɯn	krən	kʴˁən（jiān）	krˤən	kɛn	krə̂n		krəːn（jiān）	keən	krɯːn	krən	見開二山平
膠	kriw	[k]ˤriw⸗[k]ˤriwʔ	kru	krəgʷ⸗krəgʷh	kʴˁiu（jiāo）⸗kʴˁiuʔ（jiǎo）	krˤiu	kɔw⸗kɔwᴮ⸗kaw	krjû⸗krû⸗krâw⸗krîw	kriːw（jiāo）	kriːw（jiāo）	keu⸗keu	krɯːw⸗krɯːws⸗kʰrɯːw	krəw⸗krəw	溪開二肴平⸗見開二肴去⸗見開二肴平
戟	krjak	[k]rak	kra̠k	kjiak	kʴak（jǐ）	krak	kɨ̯ak	krak	krak（jǐ）	krak（jǐ）	kiak	krag	kiak	見開三B庚入入
京	krjaŋ	[k]raŋ	kraŋ	kljiaŋ	kɹaŋ（jīng）	kraŋ	kɨ̯aŋ	kraŋ	kraŋ（jīng）	kraŋ（jīng）	kiaŋ	kraŋ	kiaŋ	見開三B庚平
景	krjaŋʔ	C.qraŋʔ⸗[C.q]raŋʔ	kra̠ŋʔ⸗ʔra̠ŋʔ	kljiaŋx	kɹaŋʔ（jǐng）⸗kɹaŋʔ（jǐng）	kraŋʔ	kɨ̯aŋᴮ	kraŋʔ	kráŋ（jǐng）	kraŋʔ（jǐng）	kiaŋ	kraŋʔ	kiaŋ	見開三B庚上
筥	krjaʔ	[k]raʔ		kljagx	kɹaʔ（jǔ）	kraʔ	kɨ̯ɑᴮ	kaʔ	krá（jǔ）	kraʔ（jǔ）	kǐa	klaʔ	kjaɣ	見開三C魚上
荆	krjeŋ		ki̠ŋ			kreŋ	kɨ̯ɛŋ	kreŋ						見開三B庚平
驚	krjeŋ	kreŋ	kri̠ŋ	kjiŋ	kʴɛŋ（jīng）	kreŋ	kɨ̯ɛŋ	kreŋ	kraŋ（jīng）	kreŋ（jīng）	kǐeŋ	kreŋ	kieŋ	見開三B庚平
敬	krjeŋs	kreŋ(ʔ)-s	kri̠ŋs	kjiŋh	kʴɛŋh（jìng）	kreŋh	kɨ̯ɛŋᶜ	kreŋh	kraŋh（jìng）	kreŋh（jìng）	kǐeŋ	kreŋs	kieŋ	見開三B庚去
猘	krjets	k<r>e[t]-s			kʴɛθ（jì）		kɨ̯as	kats⸗krets				kreds	kiar	見開三B祭去
瘈	krjets	ke[t]-s			kɛθ（jì）⸗kɛθ（zhì）		kjas	kets	keːtɕ（jì）					
飢	krjɨj	Cə.k<r>ə[j]		kjid	kʴəi（jī）	krəi	kɨ	kri	krəj（jī）	krəj（jī）	kǐei	kril	kier	見開三B脂平
几	krjɨjʔ	C.kr[ə]jʔ	kri̠rʔ	kjidx	kʴəiʔ（jǐ）	krəiʔ	kɨᴮ	kriʔ	krə́j（jǐ）	krəjʔ（jǐ）	kǐei	krilʔ	kier	見開三B脂上⸗常合三虞平
棘	krjɨk	krək	gre̠k	kjək	kɹək（jí）	krək	kɨk	kək	kək（jí）	kək（jí）	kǐək	krɯg	kiək	見開三C蒸入入
禁	krjɨms⸗krjums	kr[ə]m-s		kljəm⸗kljəmh	kɹəmh（jìn）	krəm⸗krəmh	kɨmᶜ	krəms	krəmh（jìn）		kǐəm⸗kǐəm	krɯm⸗krɯms	kiəm	見開三B侵平⸗見開三B侵去
巾	krjɨn	krən	kɯ̠n	kjiən	kʴən（jīn）	krən	kɨn	krən	krən（jīn）	krən（jīn）	kǐən	krɯn	kiən	見開三B真平
樛	krjiw	k-riw	kru̠	kljiəgʷ	kiu（jiū）⸗kiu（jiū）	kriu	kju	kju⸗kiw	kriw（jiū）		kiu	krɯw	kjiəw	見開三A幽平
屨	krjo(k)s	k-ro-s		kljugh	kɹɔh（jù）	kroh	kʷoᶜ	kroh	kroh（jù）		kǐwɔ	klos	kjew	見合三C虞去
恭	krjoŋ	k<r>oŋ	ko̠ŋ	kjuŋ	k[ɹ]ɔŋ（gōng）	koŋ	kʷoŋ	kroŋ	koːŋ（gōng）	koŋ（gōng）	kǐwɔŋ	kloŋ	kjewŋ	見三C鍾平
龔	krjoŋ	k<r>oŋ		kjuŋ	k[ɹ]ɔŋ（gōng）	koŋ	kʷoŋ	koŋ	kroŋ（gōng）		kǐwɔŋ	kloŋ	kjewŋ	見三C鍾平
麕	krjun	krun		kwjiən	k[wʴə]n（jūn）	krun	kuɨn	kun		krun（jūn）		krun	kiwən	見合三B真平
蝸	kroj	k.rˤoj		kwrar	k[wʴˁa]i（wō）	kwrˤai	kʷaj⸗kɔj⸗loj	krôj⸗g-rôj	kwraːj（guā）		koai	kroːl⸗kʷroːl	krweɣ⸗krwa	見合一歌平⸗見合二麻平⸗見合二佳平
