# Database that maps pinyin readings to their closest Tshet'hyun (Qieyun) equivalents.
# Pinyin readings tabulated from CEDict. Tshet'hyun (Qieyun) phonetic glosses sourced from multiple databases; syntax follows earlier versions of nk2028.
# No tone: Standard Mandarin unpredictable (入); 
# not to be confused with syllables with neutral tone ('Tone 5'), which are not assigned expected_readings.
# character counts are from CC-CEDICT (https://www.mdbg.net/chinese/dictionary?page=cedict). CEDICT is licensed under a Creative Commons Attribution-ShareAlike 4.0 International License.
character	attested_reading	expected_reading	QY	singchar_ count	multchar_ count	char_total_count
湖	hu2		匣模平	1	181	182
細	xi4		心開齊去	1	180	182
細	xi5			0	1	182
腦	nao3		泥豪上	1	181	182
術	shu4	shu2	船合眞入	1	179	182
術	zhu2	shu2	船合眞入	1	1	182
受	shou4		常尤上	1	179	181
受	shou5			0	1	181
房	fang2		並陽平	2	178	181
房	fang5			0	1	181
玉	yu4		疑鍾入	1	180	181
防	fang2		並陽平	1	180	181
烏	wu1		影模平	2	178	180
印	yin4		影開A眞去	2	177	179
吃	chi1	ji	見欣入	1	178	179
料	liao4		來蕭去	1	176	178
料	liao5			0	1	178
師	shi1		生開脂平	2	174	176
感	gan3		見覃上	1	175	176
母	mu3	mou3	明侯上	1	175	176
耳	er3		日之上	1	175	176
貨	huo4		曉合一歌去	1	175	176
影	ying3		影開三庚上	1	174	175
麻	ma2		明二麻平	2	160	175
麻	ma5			0	12	175
麻	ma1	ma2	明二麻平	0	1	175
臨	lin2		來侵平	1	173	174
薩	sa4	sa	心開寒入	1	173	174
費	fei4		滂微去; 並微去	2	172	174
思	si1		心之平	1	160	173
思	si5			0	12	173
異	yi4		以之去	1	172	173
衣	yi1		影開微平	1	169	173
衣	yi4		影開微去	1	2	173
飛	fei1		幫微平	1	172	173
其	qi2		羣之平	1	171	172
到	dao4		端豪去	1	170	172
到	dao5			0	1	172
根	gen1		見痕平	1	171	172
甲	jia3	jia	見銜入	1	163	172
甲	jia5			0	8	172
背	bei4		並灰去; 幫灰去	1	159	172
背	bei1	bei4	並灰去; 幫灰去	1	11	172
壓	ya1	ya	影銜入	1	163	171
壓	ya4	ya	影銜入	1	4	171
壓	ya5			0	2	171
奇	qi2		羣開B支平	1	159	171
奇	ji1		見開B支平	1	10	171
春	chun1		昌合眞平	2	169	171
李	li3		來之上	2	159	171
李	li5			0	10	171
真	zhen1		章開眞平	1	170	171
兵	bing1		幫三庚平	1	169	170
寶	bao3		幫豪上	1	169	170
銀	yin2		疑開B眞平	1	169	170
千	qian1		清開先平	1	168	169
斷	duan4		定合寒上; 端合寒去	1	167	168
靈	ling2		來開青平	1	166	168
靈	ling5			0	1	168
團	tuan2		定合寒平	1	166	167
底	di3		端開齊上	1	165	167
底	de5			1	0	167
微	wei1	wei2	明微平	2	165	167
灰	hui1		曉灰平	1	165	167
灰	hei1	hui1	曉灰平	0	1	167
的	de5			1	121	167
的	di4	di	端開青入	1	30	167
的	di1	di	端開青入	1	7	167
