	MC	schuesslerLHC	schuesslerOC	zhengzhang	baxter-sagart	baxter1992	jinlixin	lifanggui	msoeg	msoegDK	starostinLO	starostinTK	wangli	zhoufagao	上古讀有
膆	心一模去			saːs						sˤakh					✓
訴	心一模去	sɑᶜ	sŋâkh	sŋaːgs	s-ŋˤak-s			sagh	[s]ˁah（sù）	sŋˤakh	(s)ŋ̥aːh（sù）		sa	saɣ	✓
遡	心一模去	sɑᶜ	sŋâkh	sŋaːgs	s-ŋˤak-s		sŋah	sagh	[s]ˁah（sù）	sŋˤakh			sa	saɣ	✓
㨞	心一模去									sˤakh					✓
䛾	心一模去									sˤakh					✓
𤢘	心一模去									sˤakh					✓
𤤐	心一模去									sŋˤakh					✓
𧪜	心一模去	sɑᶜ	sŋâkh		s-ŋˤak-s				[s]ˁah（sù）	sŋˤakh				saɣ	✓
居		kɨ̯ɔ・kɨ̯ɑ	kâ・kah・ka・kaʔ・kaʔ		k(r)a・ka・k(r)a-s	k(r)ja(s)	ka̠	kjag	k⁽ʴ⁾a（jū）・k⁽ʴ⁾a（jū）・k⁽ʴ⁾ah（jū）	k(r)a・k(r)ə					✓
崌	見開三C魚平			ka						k(r)a					✓
据	見開三C魚平	kɨ̯ɑ	ka	ka		k(r)ja	ka̠	kjag	k⁽ʴ⁾a（jū）	k(r)a		ka（jū）	kǐa		✓
涺	見開三C魚平			ka				kjag		k(r)a				kjaɣ	✓
琚	見開三C魚平	kɨ̯ɑ	ka	ka		k(r)ja	ka̠	kjag	k⁽ʴ⁾a（jū）	k(r)a	ka（jū）	ka（jū）	kǐa	kjaɣ	✓
蜛	見開三C魚平			ka						k(r)a					✓
裾	見開三C魚平	kɨ̯ɑ	ka	ka				kjag		k(r)a			kǐa	kjaɣ	✓
鶋	見開三C魚平			ka						k(r)a					✓
䝻	見開三C魚平									k(r)a					✓
𡨢	見開三C魚平									k(r)a					✓
𦱅	見開三C魚平									k(r)a					✓
柜	見開三C魚上	kɥɑᴮ	hʷaʔ	kaʔ				kjagx		k(r)aʔ			kǐa	kjaɣ	✓
櫸	見開三C魚上			klaʔ						kɫaʔ					✓
筥	見開三C魚上	kɨ̯ɑᴮ	kaʔ	klaʔ	[k]raʔ	krjaʔ		kljagx	kɹaʔ（jǔ）	kraʔ	krá（jǔ）	kraʔ（jǔ）	kǐa	kjaɣ	✓
舉	見開三C魚上	kɨ̯ɑᴮ	klaʔ	klaʔ・klas	C.q(r)aʔ・[k](r)aʔ	k(l)jaʔ・k(r)jaʔ	kja̠ʔ	kjagx	kɫaʔ（jǔ）・kɫaʔ（jǔ）	kɫaʔ		klaʔ（jǔ）	kǐa	kjaɣ	✓
莒	見開三C魚上	kɨ̯ɑᴮ	kaʔ	klaʔ	k.raʔ		kra̠ʔ	kljagx	kɹaʔ（jǔ）	kraʔ	krá（jǔ）		kǐa	kjaɣ	✓
䢹	見開三C魚上									k(r)aʔ					✓
𠢈	見開三C魚上									kɫaʔ⏪𦥠					✓
𧺹	見開三C魚上									k(r)aʔ					✓
倨	見開三C魚去	kɨ̯ɑᶜ	kah	kas				kjagh		k(r)ah			kǐa	kjaɣ	✓
據	見開三C魚去	kɨ̯ɑᶜ	kah	kas	k(r)a(k)-s	k(r)ja(k)s	kra̠h	kjagh	k[ɫ]ah（jù）	k(ɫ)ah❓	kah（jù）	kah（jù）	kǐa	kjaɣ	✓
踞	見開三C魚去	kɨ̯ɑᶜ	kah	kas		kjas		kjagh		k(r)ah			kǐa	kjaɣ	✓
鋸	見開三C魚去	kɨ̯ɑᶜ	kah	kas	k(r)a-s			kjagh	k⁽ʴ⁾ah（jù）	k(r)ah	kah（jù）		kǐa	kjaɣ	✓
䱟	見開三C魚去									k(r)ah					✓
𧣻	見開三C魚去									k(r)ah					✓
墟	溪開三C魚平	kʰɨ̯ɑ・hɨ̯ɑ	kʰa	kʰa	C.qʰ(r)a				kʰ[ɫ]a（xū）	kʰ(r)a	kʰa（xū）		kʰǐa	kʰjaɣ	✓
椐	溪開三C魚平・見開三C魚去・見開三C魚平	kɨ̯ɑ・kɨ̯ɑᶜ・kʰɨ̯ɑ	ka・kah・kʰa	ka・kas・kʰa		kʰ(r)ja	ka̠	kjag・kjagh	kʰ⁽ʴ⁾a（jū）	k(r)a・k(r)ah・kʰ(r)a	ka（jū）	kʰa（jū）	kǐa・kǐa	kjaɣ・kʰjaɣ・kjaɣ	✓
祛	溪開三C魚平	kʰɨ̯ɑ	kʰa	kʰa					kʰ⁽ʴ⁾a（qū）	kʰ(r)a❓		kʰa（qū）			✓
袪	溪開三C魚平	kʰɨ̯ɑ	kʰa	kʰa		kʰ(r)ja	kha̠	kʰjag		kʰ(r)a			kʰǐa	kʰjaɣ	✓
阹	溪開三C魚平			kʰa				kʰjag		kʰ(r)a				kʰjaɣ	✓
魼	溪開三C魚平・透開一談入			kʰa・kʰl'aːb・tkʰaːb・tʰaːb				kʰjag		kʰ(r)a				kʰjaɣ	✓
㠊	溪開三C魚平									kʰ(r)a					✓
㭕	溪開三C魚平							kʰjag		kʰ(r)a				kʰjaɣ	✓
𢴮	溪開三C魚平									kʰ(r)a					✓
𥬔	溪開三C魚平							kʰjag		kʰ(r)a				kʰjaɣ	✓
弆	溪開三C魚上・見開三C魚上			kaʔ・kʰaʔ						kʰ(r)aʔ					✓
麮	溪開三C魚上・溪開三C魚去	kʰɨ̯ɑᴮ・kʰɨ̯ɑᶜ	kʰaʔ・kʰah	kʰaʔ・kʰas				kʰjagx・kʰjagh		kʰ(r)aʔ・kʰ(r)ah				kʰjaɣ・kʰjaɣ	✓
𥿇	溪開三C魚上・生開三魚平									sra・sraʔ					✓
𧉧	溪開三C魚上									kʰ(r)aʔ					✓
去	溪開三C魚去・溪開三C魚上	kʰɨ̯ɑᴮ・kʰɨ̯ɑᶜ	kʰaʔ・kʰah	kʰaʔ・kʰas	[kʰ](r)aʔ・[k]ʰ(r)ap-s	kʰ(r)jas	khah	kʰjagx・kʰjagh	kʰ⁽ʴ⁾aʔ（qù）・kʰ⁽ʴ⁾ah（qù）	kʰ(r)aʔ・kʰ(r)ah	kʰá（qù）	kʰah（qù）	kʰǐa・kʰǐa	kʰjaɣ・kʰjaɣ	✓
鼁	溪開三C魚去			kʰas											✓
䒧	溪開三C魚去・溪開三C魚平									kʰ(r)a・kʰ(r)ah					✓
𩿟	溪開三C魚去									kʰ(r)ah					✓
懅	羣開三C魚平			ga						ɡ(r)a					✓
淭	羣開三C魚平			ga						ɡ(r)a⏪渠					✓
渠	羣開三C魚平	gɨ̯ɑ	ga	ga	[g](r)a	g(r)ja	ga̠	gjag	g⁽ʴ⁾a（qú）	ɡ(r)a	ga（qú）	ga（qú）	gǐa	gjaɣ	✓
璖	羣開三C魚平			ga						ɡ(r)a					✓
璩	羣開三C魚平			ga						ɡ(r)a			gǐa		✓
磲	羣開三C魚平			ga						ɡ(r)a					✓
籧	羣開三C魚平	gɨ̯ɑ・kɨ̯ɑᴮ	ga・kaʔ	ga			gra̠	gjag		ɡ(r)a			gǐa	gjaɣ	✓
腒	羣開三C魚平・見開三C魚平	kɨ̯ɑ・gɨ̯ɑ	ka・ga	ka・ga				kjag・gjag		k(r)a・ɡ(r)a				kjaɣ・gjaɣ	✓
蕖	羣開三C魚平			ga						ɡ(r)a			gǐa		✓
螶	羣開三C魚平							gjag		ɡ(r)a				gjaɣ	✓
蟝	羣開三C魚平			ga						ɡ(r)a					✓
豦	羣開三C魚平・見開三C魚去	gɨ̯ɑ・gɨ̯ɑᶜ	ga・gah	kas・ga				gjag・kjagh		k(ɫ)ah❓・ɡ(r)a				gjaɣ・kjaɣ	✓
㯫	羣開三C魚平									ɡ(r)a					✓
䆽	羣開三C魚平									ɡ(r)a					✓
䝣	羣開三C魚平									ɡ(r)a					✓
䟊	羣開三C魚平									ɡ(r)a					✓
𥴧	羣開三C魚平・見開三C魚上							gjag		ɡ(r)a				gjaɣ	✓
𦄽	羣開三C魚平									ɡ(r)a					✓
𧝔	羣開三C魚平									ɡ(r)a					✓
𨎶	羣開三C魚平									ɡ(r)a					✓
𨞙	羣開三C魚平									ɡ(r)a					✓
𪆫	羣開三C魚平							gjag		ɡ(r)a				gjaɣ	✓
岠	羣開三C魚上														
巨	羣開三C魚上	kɥɑᴮ・gɨ̯ɑᴮ	kʷaʔ・gaʔ	gaʔ				gjagx		ɡ(r)aʔ			gǐa	gjaɣ	✓
拒	羣開三C魚上	gɨ̯ɑᴮ・kɥɑᴮ	gaʔ・kʷaʔ	gaʔ			ga̠ʔ			ɡ(r)aʔ			gǐa	gjaɣ	✓
歫	羣開三C魚上			gaʔ				gjagx		ɡ(r)aʔ				gjaɣ	✓
炬	羣開三C魚上			gaʔ						ɡ(r)aʔ			gǐa		✓
秬	羣開三C魚上	gɨ̯ɑᴮ	gaʔ	gaʔ		g(r)jaʔ	ga̠ʔ	gjagx	g⁽ʴ⁾aʔ（jù）	ɡ(r)aʔ	g⁽ʱ⁾á（jù）	g⁽ʱ⁾aʔ（jù）	gǐa	gjaɣ	✓
粔	羣開三C魚上	gɨ̯ɑᴮ	gaʔ・ga	gaʔ	[N]-k(r)aʔ				g⁽ʴ⁾aʔ（jù）	ɡ(r)aʔ	g⁽ʱ⁾á（jù）			gjaɣ	✓
苣	羣開三C魚上			gaʔ				gjagx		ɡ(r)aʔ			gǐa	gjaɣ	✓
虡	羣開三C魚上	gɨ̯ɑᴮ	gaʔ	gaʔ		g(r)jaʔ	gra̠ʔ	gjagx	g[ɫ]aʔ（jù）	ɡ(r)aʔ		g⁽ʱ⁾aʔ（jù）	gǐa	gjaɣ	✓
詎	羣開三C魚上・羣開三C魚去	gɨ̯ɑᴮ	gaʔ	gaʔ・gas						ɡ(r)aʔ・ɡ(r)ah			gǐa・gǐa	gjaɣ・gjaɣ	✓
距	羣開三C魚上	gɨ̯ɑᴮ	gaʔ	gaʔ			ga̠ʔ	gjagx		ɡ(r)aʔ			gǐa	gjaɣ	✓
鉅	羣開三C魚上	gɨ̯ɑᴮ	gaʔ	gaʔ				gjagx		ɡ(r)aʔ				gjaɣ	✓
鐻	羣開三C魚上・羣開三C魚平・見開三C魚去	kɨ̯ɑᶜ	kah	kas・ga・gaʔ				gjagx		k(ɫ)ah❓・ɡ(r)a・ɡ(r)aʔ				gjaɣ・kjaɣ	✓
駏	羣開三C魚上			gaʔ						ɡ(r)aʔ					✓
䶙	羣開三C魚上							gjagx		ɡ(r)aʔ				gjaɣ	✓
𦊐	羣開三C魚上									ɡ(r)aʔ					✓
𦼫	羣開三C魚上・羣開三C魚平							gjag・gjagx		ɡ(r)a・ɡ(r)aʔ				gjaɣ・gjaɣ	✓
𧇽	羣開三C魚上							gjagx		ɡ(r)aʔ				gjaɣ	✓
𧣒	羣開三C魚上									ɡ(r)aʔ					✓
勮	羣開三C魚去			gas				gjagh		ɡ(r)ah				gjaɣ	✓
澽	羣開三C魚去・見開三C魚去			kas・gas						k(ɫ)ah❓・ɡ(r)ah					✓
遽	羣開三C魚去	gɨ̯ɑᶜ	gah	gas	[g](r)a(k)-s			gjagh	g[ɫ]ah（jù）	ɡ(r)ah	gah（jù）		gǐa	gjaɣ	✓
漁	疑開三C魚平	ŋɨ̯ɑ	ŋa	ŋa	[ŋ](r)a			ŋjag	ŋ([ɫ])a（yú）	ŋa	ŋʱa（yú）		ŋǐa	ŋjaɣ	✓
魚	疑開三C魚平	ŋɨ̯ɑ	ŋa	ŋa	[r.ŋ]a	ŋ(r)ja	ŋa̠	ŋjag	ŋ([ɫ])a（yú）	ŋa	ŋʱa（yú）	ŋʱa（yú）	ŋǐa	ŋjaɣ	✓
䁩	疑開三C魚平									ŋa					✓
䰻	疑開三C魚平									ŋa					✓
䱷	疑開三C魚平	ŋɨ̯ɑ	ŋa	ŋa	[ŋ](r)a				ŋ([ɫ])a（yú）	ŋa				ŋjaɣ	✓
𩺰	疑開三C魚平									ŋa					✓
𩼪	疑開三C魚平									ŋa					✓
圄	疑開三C魚上	ŋɨ̯ɑᴮ	ŋaʔ	ŋaʔ	m-qʰ<r>aʔ			ŋjagx	ŋ[ɫ]aʔ（yǔ）	ŋaʔ	ŋ⁽ʱ⁾á（yǔ）			ŋjaɣ	✓
圉	疑開三C魚上	ŋɨ̯ɑᴮ	ŋaʔ	ŋaʔ	m-qʰ<r>aʔ	ŋ(r)jaʔ	ŋa̠ʔ	ŋjagx	ŋ[ɫ]aʔ（yǔ）	ŋaʔ	ŋ⁽ʱ⁾(r)á（yǔ）	ŋ⁽ʱ⁾aʔ（yǔ）		ŋjaɣ	✓
敔	疑開三C魚上	ŋɨ̯ɑᴮ	ŋaʔ	ŋaʔ				ŋjagx		ŋaʔ				ŋjaɣ	✓
禦	疑開三C魚上	ŋɨ̯ɑᴮ	ŋaʔ	ŋaʔ・ŋas	m-qʰ(r)aʔ	ŋ(r)jaʔ	ŋa̠ʔ	ŋjagx	ŋɫaʔ（yù）	ŋaʔ	ŋ⁽ʱ⁾(r)á（yù）	ŋ⁽ʱ⁾aʔ（yù）		ŋjaɣ	✓
篽	疑開三C魚上			ŋaʔ				ŋjagx		ŋaʔ				ŋjaɣ	✓
籞	疑開三C魚上			ŋaʔ						ŋaʔ					✓
蘌	疑開三C魚上			ŋaʔ						ŋaʔ					✓
語	疑開三C魚上・疑開三C魚去	ŋɨ̯ɑᴮ・ŋɨ̯ɑᶜ	ŋaʔ・ŋah	ŋaʔ・ŋas	ŋ(r)aʔ・ŋ(r)aʔ-s	ŋ(r)jaʔ	ŋa̠ʔ	ŋjagx・ŋjagh	ŋ⁽ʴ⁾aʔ（yǔ）・ŋ⁽ʴ⁾ah（yù）	ŋaʔ・ŋah	ŋá（yǔ）	ŋaʔ（yǔ）		ŋjaɣ・ŋjaɣ	✓
鋙	疑開三C魚上・疑開三C魚平	ŋɨ̯ɑ・ŋɨ̯ɑᴮ	ŋa・ŋaʔ	ŋa・ŋaʔ	ŋ(r)a・ŋ(r)aʔ				ŋ⁽ʴ⁾a（yú）・ŋ⁽ʴ⁾aʔ（yǔ）	ŋa・ŋaʔ				ŋjaɣ・ŋjaɣ	✓
䥏	疑開三C魚上							ŋjagx		ŋaʔ				ŋjaɣ	✓
御	疑開三C魚去・疑開二麻去	ŋɨ̯ɑᶜ・ŋaᶜ	ŋah・ŋrâh	ŋas・ŋaʔ	m-[qʰ](r)aʔ・[ŋ](r)a-s	ŋ(r)jaks・ŋra(k)s	ŋa̠h	ŋjagh	ŋɫaʔ（yù）・ŋɫah（yù）	ŋah	ŋrah（yù）	ŋ⁽ʱ⁾raːh（yù）	ŋǐa	ŋjaɣ	✓
馭	疑開三C魚去	ŋɨ̯ɑᶜ	ŋah	ŋas	[ŋ](r)a-s			ŋjagh	ŋɫah（yù）	ŋ(r)ah	ŋrah（yù）		ŋǐa	ŋjaɣ	✓
唹	影開三C魚平			qa						ʔa					✓
扵	影開三C魚平			qa						ʔa					✓
箊	影開三C魚平			qa						ʔa					✓
𢮁	影開三C魚上・影開三C魚去									ʔaʔ・ʔah					✓
𩩘	影開三C魚上									ʔaʔ					✓
棜	影開三C魚去	ʔɨ̯ɑᶜ	ʔah	qas						ʔah				ʔjaɣ	✓
淤	影開三C魚去・影開三C魚平			qa・qas				ʔjag・ʔjagh		ʔa・ʔah			0ǐa・0ǐa	ʔjaɣ・ʔjaɣ	✓
瘀	影開三C魚去	ʔɨ̯ɑᶜ	ʔah	qas				ʔjagh		ʔah			0ǐa	ʔjaɣ	✓
菸	影開三C魚去・影開四先平	ʔɨ̯ɑ	ʔa	qeːn・qas				ʔjagh		ʔah				ʔjaɣ	✓
飫	影開三C魚去	ʔɨ̯ɑᶜ	ʔah	qos		ʔ(r)joks	ʔo̠h	ʔjugh			ʔ(r)oh（yǐ）		0ǐɔ		✓
𡫽	影開三C魚去・日開三魚上・日開三魚平							njag・njagx		na・naʔ				njaɣ・njaɣ	✓
𩜏	影開三C魚去									ʔah					✓
歔	曉開三C魚平	hɨ̯ɑ	ha	qʰa						h(r)a				xjaɣ	✓
虚	曉開三C魚平・溪開三C魚平	kʰɨ̯ɑ・hɨ̯ɑ	kʰa・ha			kʰ(r)ja	kha̠・xa̠		kʰ[ɫ]a（xū）			kʰa（xū）			✓
虛	曉開三C魚平・溪開三C魚平		ha・kʰa	kʰa・qʰa	C.qʰ(r)a・qʰ(r)a			hjag	x[ɫ]a（xū）・kʰ[ɫ]a（xū）	kʰ(r)a・h(r)a	ha（xū）		hǐa	xjaɣ・kʰjaɣ	✓
驉	曉開三C魚平			qʰa						h(r)a					✓
魖	曉開三C魚平			qʰa				hjag		h(r)a				xjaɣ	✓
𥛳	曉開三C魚平									h(r)a					✓
許	曉開三C魚上	hɨ̯ɑᴮ・hɑᴮ	hŋaʔ・hâʔ・ŋ̊aʔ	hŋaʔ	qʰˤaʔ・qʰ(r)aʔ	hŋ(r)jaʔ・hŋaʔ	sŋa̠ʔ	hŋjagx	x[ɫ]aʔ（xǔ）・x[ɫ]aʔ（xǔ）・xɫˁaʔ（hǔ）	ŋ̊aʔ	ŋ̥á（xǔ）	sŋaʔ（xǔ）	hǐa	xjaɣ	✓
鄦	曉開三C魚上	hɨ̯aᴮ	hmaʔ	hmaʔ						m̥aʔ					✓
嘘	曉開三C魚去	hɨ̯ɑ・hɨ̯ɑᶜ	ha・hah	qʰa・qʰas											✓
噓	曉開三C魚去・曉開三C魚平							hjag		h(r)a			hǐa	xjaɣ・xjaɣ	✓
櫫	知開三魚平			ta						tra❓			tǐa		✓
瀦	知開三魚平	ʈjɑ	tra	ta						tra❓			tǐa	tiaɣ	✓
猪	知開三魚平			ta						tra❓					✓
豬	知開三魚平	ʈjɑ	tra	ta	tra	trja	tra̠	trjag	tʴa（zhū）	tra❓	tra（zhū）		tǐa	tiaɣ	✓
䐗	知開三魚平									tra❓					✓
詝	知開三魚上			taʔ						traʔ					✓
貯	知開三魚上	ʈjɑᴮ	traʔ	taʔ				trjagx		traʔ			tǐa	tiaɣ	✓
䍆	知開三魚上									traʔ					✓
䘢	知開三魚上									traʔ					✓
𡪄	知開三魚上									traʔ・traʔ❓					✓
𢁼	知開三魚上									traʔ					✓
𤲑	知開三魚上							trjagx		traʔ				tiaɣ	✓
摴	徹開三魚平			qʰʷl'a・l̥ʰa									tʰǐa		✓
攄	徹開三魚平	ʈʰjɑ	r̥a	r̥ʰa	r̥a				ʰɹa（shū）				tʰǐa	tʰiaɣ	✓
樗	徹開三魚平	ʈʰjɑ	tʰra・r̥a	qʰʷl'a・l̥ʰa		hlrja	χ/l/a̠		ʰɹa（chū）			tʰra（chū）			✓
㯉	徹開三魚平														
𥱻	徹開三魚平														
柠	徹開三魚上			tʰaʔ						tʰraʔ					✓
楮	徹開三魚上・端一模上	ʈʰjɑᴮ・tɑᴮ	tʰraʔ・tâʔ	taːʔ・tʰaʔ				tʰrjagx・tagx		tˤaʔ			tʰǐa	tʰiaɣ・taɣ	✓
褚	徹開三魚上・知開三魚上	ʈjɑᴮ	traʔ	taʔ・tʰaʔ	traʔ			trjagx・tʰrjagx	tʴaʔ（zhǔ）	traʔ❓			tǐa・tʰǐa	tiaɣ・tʰiaɣ	✓
㾻	徹開三魚去・澄開三魚去・澄開三魚平									lra					✓
儲	澄開三魚平	ɖjɑ	dra	da				drjag					dǐa	diaɣ	✓
屠	澄開三魚平・定一模平	dɑ	dâ	daː・da	[d]ˤa	da	da	drjag・dag	dˁa（tú）	dˤa	daː（tú）		da	diaɣ・daɣ	✓
滁	澄開三魚平			rla						lra			dǐa		✓
篨	澄開三魚平	ɖjɑ	dra・r-la	rla			zra̠	drjag		lra			dǐa	diaɣ	✓
蒢	澄開三魚平			rla				drjag		lra				diaɣ	✓
藸	澄開三魚平・知開三魚平			ta・da				trjag		tra❓				tiaɣ	✓
躇	澄開三魚平	ɖjɑ・ʈʰjɑk	dra・tʰrak	da	tʰrak				tʰʴak（chuò）	tʰrak❓	dʱra（chú）		dǐa	diaɣ	✓
除	澄開三魚平・澄開三魚去	ɖjɑ・ɖjɑᶜ	dra・r-la・drah・r-lah	l'a・l'as	[l]<r>a・lra-s	lrjas	zra̠・zra̠h	drjag	lʴa（chú）・lʴah（zhù）	lra	dɮa（chú）	dɮʱah（zhù）	dǐa	diaɣ・diaɣ	✓
𦿀	澄開三魚平														
佇	澄開三魚上	ɖjɑᴮ	draʔ	daʔ			dra̠ʔ			draʔ			dǐa	diaɣ	✓
宁	澄開三魚上・澄開三魚平	ɖjɑ・ɖjɑᴮ	dra・draʔ	da・daʔ				drjagx		dra・draʔ				diaɣ・diaɣ	✓
杼	澄開三魚上・船開三魚上	ɖjɑᴮ・ʑɑᴮ・ʑɑᶜ	draʔ・r-laʔ・m-laʔ・m-lah	l'aʔ・ɦljaʔ				drjagx・djagx		draʔ			dǐa・ȡǐa	diaɣ・zdjaɣ	✓
眝	澄開三魚上			daʔ				drjagx		draʔ				diaɣ	✓
竚	澄開三魚上	ɖjɑᴮ	draʔ	daʔ	m-[t]raʔ				[d]ʴaʔ（zhù）	draʔ			dǐa	diaɣ	✓
紵	澄開三魚上	ɖjɑᴮ	draʔ	daʔ	mə-draʔ	drjaʔ	dra̠ʔ	drjagx	[d]ʴaʔ（zhù）	draʔ	d⁽ʱ⁾rá（zhù）	d⁽ʱ⁾raʔ（zhù）	dǐa	diaɣ	✓
羜	澄開三魚上	ɖjɑᴮ	draʔ	daʔ		drjaʔ	dra̠ʔ	drjagx	[d]ʴaʔ（zhù）	draʔ	d⁽ʱ⁾rá（zhù）	d⁽ʱ⁾raʔ（zhù）	dǐa	diaɣ	✓
芧	澄開三魚上	zjɑᴮ	s-laʔ	l'aʔ				drjagx						diaɣ	✓
苧	澄開三魚上	ɖjɑᴮ	draʔ	daʔ						draʔ			dǐa		✓
筯	澄開三魚去			das											✓
箸	澄開三魚去・知開三魚去	ɖjɑᶜ	drah	tas・das	[d]<r>ak-s	drjaks		trjagh・drjagh	dʴah（zhù）	drah❓	drah（zhù）		tǐa・dǐa	tiaɣ・diaɣ	✓
帤	孃開三魚平	ɳjɑ	nra	na				nrjag		nra				niaɣ	✓
袽	孃開三魚平	ɳjɑ	nra	na						nra				niaɣ	✓
𣖹	孃開三魚平									nra					✓
𣭠	孃開三魚平									nra					✓
女	孃開三魚上・孃開三魚去・日開三魚上	ɳjɑᴮ・ɳjɑᶜ	nraʔ・nrah	naʔ・nas	nraʔ・nraʔ-s	n(r)jaʔ	na̠ʔ・na̠ʔ	nrjagx・nrjagh	nʴaʔ（nǚ）・nʴah（nǜ）	nraʔ・nrah	nrá（nǚ）	nraʔ（nǚ）	nǐa・nǐa	niaɣ・niaɣ	✓
籹	孃開三魚上	ɳjɑᴮ	nraʔ	naʔ	nraʔ				nʴaʔ（nǚ）	nraʔ	n⁽ʱ⁾rá（nǚ）			niaɣ	✓
釹	孃開三魚上														
菹	莊開三魚平	tʂɑ	tsra	ʔsra		tsrja	ȶra̠	tsrjag	tʃʴa（zū）	tsra	tsra（jū）	tɕra（zū）	tʃǐa	tsiaɣ	✓
𧄗	莊開三魚平														
俎	莊開三魚上	tʂɑᴮ	tsraʔ	ʔsraʔ			ȡ/l/a̠ʔ	tsrjagx		tsraʔ			tʃǐa	tsiaɣ	✓
阻	莊開三魚上・莊開三魚去	tʂɑᴮ	tsraʔ	ʔsraʔ・ʔsras	[ts]raʔ	tsrjaʔ	ȶra̠ʔ	tsrjagx・tsrjagh	tʃʴaʔ（zǔ）	tsraʔ・tsrah	tsrá（zǔ）	tɕraʔ（zǔ）	tʃǐa	tsiaɣ・tsiaɣ	✓
詛	莊開三魚去	tʂɑᶜ	tsrah	ʔsraʔ・ʔsras			ȶra̠h	tsrjagh		tsrah			tʃǐa	tsiaɣ	✓
初	初開三魚平	tʂʰɑ	tsʰra	shra	[ts]ʰra	tshrja	ȶhra̠	tsʰrjag	[tsʰ]ʴa（chū）	tsʰra	tsʰra（chū）		tʃʰǐa	tsʰiaɣ	✓
𠿝	初開三魚平														
憷	初開三魚上			sŋ̥ʰraʔ						tsʰraʔ			tʃʰǐa		✓
濋	初開三魚上			sŋ̥ʰraʔ				tsʰrjagx		tsʰraʔ				tsʰiaɣ	✓
礎	初開三魚上			sŋ̥ʰraʔ						tsʰraʔ			tʃʰǐa		✓
齭	初開三魚上・生開三魚上	tʂʰɑᴮ		skʰraʔ・sqʰraʔ				srjagx		ŋ̊raʔ				siaɣ	✓
齼	初開三魚上			sŋ̥ʰraʔ						tsʰraʔ					✓
䙘	初開三魚上・精三東入									tsiuk					✓
𪓐	初開三魚上	tʂʰɑᴮ	tsʰraʔ					tsʰrjagx		tsʰraʔ				tsʰiaɣ	✓
儊	初開三魚去			sŋ̥ʰras						tsʰrah					✓
楚	初開三魚去・初開三魚上	tʂʰɑᴮ	tsʰraʔ	sŋ̥ʰraʔ・sŋ̥ʰras	[s.r̥]aʔ・s.r̥aʔ	tsrhjaʔ	ȶhra̠ʔ	tsʰrjagx	tsʰʴaʔ（chǔ）・tsʰʴaʔ（chǔ）・tsʰʴaʔ（chǔ）	tsʰraʔ・tsʰrah	sʰrá（chǔ）	sʰraʔ（chǔ）	tʃʰǐa	tsʰiaɣ	✓
豠	崇開三魚平			zra				dzrjag		dzra				dziaɣ	✓
鋤	崇開三魚平	dʐɑ	dzra	zra	s-[l]<r>a				dʒʴa（chú）・dʒʴa（chú）	dzra	zʱra（chú）		dʒǐa	dziaɣ	✓
𧱑	崇開三魚平									dzra					✓
𪆷	崇開三魚平									dzra					✓
鉏	崇開三魚上・崇開三魚平	dʐɑᴮ	dzraʔ	zra・zraʔ	s-[l]<r>a			dzrjag・dzrjagx	dʒʴa（chú）	dzra・dzraʔ			dʒǐa・dʒǐa	dziaɣ・dziaɣ	✓
齟	崇開三魚上			zraʔ						dzraʔ					✓
助	崇開三魚去	dʐɑᶜ	dzrah	zras・zraʔ	[dz]ra-s	dzrjas	ȡra̠h	dzrjagh	dʒʴah（zhù）	dzrah	z⁽ʱ⁾rah（zhù）	dɮ⁽ʱ⁾raʔh（zhù）	dʒǐa	dziaɣ	✓
耡	崇開三魚去・崇開三魚平	dʐɑ・dʐɑᶜ	dzra・dzrah	zra・zras				dzrjag・dzrjagh		dzra・dzrah				dziaɣ・dziaɣ	✓
麆	崇開三魚去・從一模上			zaːʔ・zras						dzˤaʔ・dzrah					✓
梳	生開三魚平	ʂɑ		sŋra	sra			srjag	sʴa（shū）	sra	sra（shū）		ʃǐa	siaɣ	✓
綀	生開三魚平			sŋra						sra					✓
蔬	生開三魚平	ʂɑ	sra	sŋra	sra				sʴa（shū）	sra	sra（shū）		ʃǐa	siaɣ	✓
㽰	生開三魚平									sra					✓
𤕟	生開三魚平									sra					✓
𦌿	生開三魚平														
所	生開三魚上	hɑᴮ・ʂɑᴮ	hâʔ・sraʔ	sqʰraʔ	s-qʰ<r>aʔ・qʰaʔ	s(k)rjaʔ	sra̠ʔ	skrjagx	x[ɫ]aʔ（suǒ）・ɹ̥aʔ（suǒ）	ŋ̊raʔ	srá（suǒ）	sraʔ（suǒ）	ʃǐa	siaɣ	✓
疋	生開三魚上・生開三魚平・疑開二麻上	ʂɑ・pʰit	sra・pʰit	ŋraːʔ・sŋra・sŋraʔ	sra			srjag・srjagx	sʴa（shū）	sra・sraʔ・ŋrˤaʔ	pʰit（pǐ）		ʃǐa・ŋea	siaɣ・siaɣ	✓
盨	生開三魚上	sjoᴮ	snoʔ	sraʔ											✓
䝪	生開三魚上							srjagx		sraʔ				siaɣ	✓
𠩄	生開三魚上									ŋ̊raʔ					✓
疎	生開三魚去・生開三魚平			sŋra	sra				sʴa（shū）	sra					✓
