	MC	schuesslerLHC	schuesslerOC	zhengzhang	baxter-sagart	baxter1992	jinlixin	lifanggui	msoeg	msoegDK	starostinLO	starostinTK	wangli	zhoufagao	上古讀有
虹	匣一東平・見一東去・見二江去	goŋ・kɔŋᶜ	gôŋ・gloŋ・krôŋh	kroːŋs・koːŋs・goːŋ	m-kˤoŋ・kˤroŋ-s		goŋ	guŋ・kuŋh・kruŋh	gˁɔŋ（hóng）・kʴˁɔŋh（jiàng）	kˤoŋh・ɡˤoŋ	goːŋ（hóng）		ɣɔŋ・kɔŋ・keɔŋ	gewŋ・kewŋ・krewŋ	✓
訌	匣一東平	goŋ	gôŋ	goːŋ		goŋ	goŋ	guŋ	gˁɔŋ（hòng）	ɡˤoŋ	g⁽ʱ⁾oːŋ（hóng）	g⁽ʱ⁾oːŋ（hòng）	ɣɔŋ	gewŋ	✓
谼	匣一東平			gloːŋ						ɡˤoŋ					✓
鉷	匣一東平			gloːŋ						ɡˤoŋ					✓
魟	匣一東平・曉一東平・見一東平			koːŋ・qʰoːŋ・goːŋ						kˤoŋ・ɡˤoŋ					✓
䉺	匣一東平									ɡˤoŋ					✓
䧆	匣一東平									ɡˤoŋ					✓
䪦	匣一東平									ɡˤoŋ					✓
䫹	匣一東平									ɡˤoŋ					✓
𦏺	匣一東平									ɡˤoŋ					✓
𨹁	匣一東平・見一東去									kˤoŋh・ɡˤoŋ					✓
𨾊	匣一東平	goŋ	gôŋ					guŋ		ɡˤoŋ				gewŋ	✓
汞	匣一東上			goːŋʔ						ɡˤoŋʔ			ɣɔŋ		✓
澒	匣一東上			goːŋʔ				guŋx		ɡˤoŋʔ			ɣɔŋ	gewŋ	✓
鴻	匣一東上・匣一東平	goŋ	gôŋ・gloŋ	goːŋ・goːŋʔ	[g]ˤoŋ		goŋ	guŋ・guŋx	gˁɔŋ（hóng）	ɡˤoŋ・ɡˤoŋʔ	g⁽ʱ⁾oːŋ（hóng）		ɣɔŋ	gewŋ・gewŋ	✓
𠳃	匣一東上									ɡˤoŋʔ					✓
𧋔	匣一東上									ɡˤoŋʔ					✓
哄	匣一東去			gloːŋs						ɡˤoŋh					✓
烘	匣一東去・匣一東平・曉一東去・曉一東平	hoŋ	hôŋ	qʰloːŋ・qʰloːŋs・goːŋ・gloːŋs			goŋ	guŋ・huŋ		ɡˤoŋ・ɡˤoŋh			hɔŋ	gewŋ・xewŋ	✓
