Unicode		按	遺		現		TUPA（用現）	遺	現
13678	㕮		並虞上	✓	並三C虞上	✓	buoq		fu6
13678	㕮		幫虞上	✓	幫三C虞上	✓	puoq		fu2
13679	㕯		孃合山入	✓	孃合二山入	✓	nrweet		naat6
13679	㕯		日合仙入	✓	日合三仙入	✓	njwiet		jyut6
13679	㕯		泥魂入	✓	泥合一魂入	✓	not		neot6
13680	㕰		曉江入	✓	曉二江入	✓	hoeuk		hok3
13699	㖃		匣侯上	✓	匣一侯上	✓	ghouq		hau6
13699	㖃		曉侯上	✓	曉一侯上	✓	houq		hau2
13699	㖃		曉侯去	✓	曉一侯去	✓	houh		hau3
13701	㖅		心合眞入	✓	心合三真入	✓	swit		seot1
13711	㖏		泥開先入	✓	泥開四先入	✓	net		nit6
13713	㖑		曉開皆去	✓	曉開二皆去	✓	heejh		haai3
13714	㖒		定開齊平	✓	定開四齊平	✓	dej		tai4
13720	㖘		章開眞平	✓	章開三真平	✓	tjin		zan1
13727	㖟		常尤去	✓	常三尤去	✓	djuh		sau6
13733	㖥		羣合B眞上	✓	羣合三B真上	✓	guinq		gwan6
13737	㖩		精虞平	✓	精合三虞平	✓	tsuo		zeoi1
13738	㖪		曉合耕入	✓	曉合二耕入	✓	hweek		fak1
13751	㖷		常開支平	✓	常開三支平	✓	djie		si4
13761	㗁		疑開唐入	✓	疑開一唐入	✓	ngak		ngok6
13769	㗉		來開陽入	✓	來開三陽入	✓	lyak		loek6
13770	㗊		莊侵入	✓	莊開三侵入	✓	tsryip		zap1
13780	㗔		溪開B仙平	✓	溪開三B仙平	✓	khyen		hin1
13781	㗕		見侯平	✓	見一侯平	✓	kou		gau1
13783	㗗		幫B支上	✓	幫三B支上	✓	pyeq		bei2
13783	㗗		幫B支平	✓	幫三B支平		pye		bei1
13784	㗘		幫唐入	✓	幫一唐入	✓	pak		bok3
13785	㗙		孃咸入	✓	孃開二咸入	✓	nreep		naap6
13786	㗚		來開眞入	✓	來開三真入	✓	lit		lat6
13787	㗛		心宵去	✓	心開三宵去	✓	siewh		siu3
13794	㗢		匣冬去	✓	匣一冬去	✓	ghongh		hung6
13794	㗢		匣冬平	✓	匣一冬平	✓	ghong		hung4
13794	㗢		定一東去	✓	定一東去	✓	doungh		dung6
13796	㗤		精三東入	✓	精三東入	✓	tsuk		zuk1
13798	㗦		來豪平	✓	來開一豪平	✓	law		lou4
13799	㗧		知開眞入	✓	知開三真入	✓	trit		zat1
13799	㗧		端開先入	✓	端開四先入	✓	tet		dit3
13800	㗨		曉開佳平	✓	曉開二佳平	✓	hee		haai1
13801	㗩		心侵入	✓	心開三侵入	✓	sip		sap1
13803	㗫		清開先入	✓	清開四先入	✓	tshet		cit3
13804	㗬		徹開二麻平	✓	徹開二麻平	✓	trhae		caa1
13809	㗱		精侵入	✓	精開三侵入	✓	tsip		zap1
13810	㗲		匣合耕入	✓	匣合二耕入	✓	ghweek		wak6
13812	㗴		疑開山平	✓	疑開二山平	✓	ngeen		ngaan4
13813	㗵		曉文入	✓	曉合三C文入	✓	hut	fat1	wat1
13819	㗻		匣合一歌平	✓	匣合一歌平	✓	ghwa		wo4
13819	㗻		見合一歌平	✓	見合一歌平	✓	kwa		gwo1
13820	㗼		疑嚴入	✓	疑開三C嚴入	✓	ngyop		jip6
13822	㗾		曉合三歌平	✓	曉合三C歌平	✓	hua		hoe1
13823	㗿		曉開一歌上	✓	曉開一歌上	✓	haq		ho2
13823	㗿		曉開二麻上	✓	曉開二麻上	✓	haeq		haa2
13823	㗿		曉開二麻去	✓	曉開二麻去	✓	haeh		haa3
13824	㘀		精合唐入	✓	精合一唐入	✓	tswak		zok3
13824	㘀		精開唐入	✓	精開一唐入	✓	tsak		zok3
13825	㘁		以開清入	✓	以開三清入	✓	jiaek		jik6
13830	㘆		透咍上	✓	透開一咍上	✓	theojq		toi2
13832	㘈		疑之去	✓	疑開三C之去	✓	ngyh		ji6
13832	㘈		疑開蒸入	✓	疑開三C蒸入	✓	ngyk		jik6
13833	㘉		莊臻入	✓	莊開三臻入	✓	tsryit		zat1
13835	㘋		匣開先上	✓	匣開四先上	✓	ghenq		hin6
13835	㘋		匣開先平	✓	匣開四先平	✓	ghen		hin4
13836	㘌		羣開三庚入	✓	羣開三B庚入	✓	gyaek		gik6
13837	㘍		精開眞入	✓	精開三真入		tsit		zat1
13843	㘓		來開寒平	✓	來開一寒平	✓	lan		laan4
13849	㘙		疑開三庚入	✓	疑開三B庚入	✓	ngyaek		jik6
13853	㘝		孃侵入	✓	孃開三侵入	✓	nrip		nap6
13853	㘝		孃咸入	✓	孃開二咸入	✓	nreep		naap6
13856	㘠		幫蒸入	✓	幫三B蒸入	✓	pyik		bik1
13859	㘣		曉合先平	✓	曉合四先平	✓	hwen		hyun1
13859	㘣		邪合仙平	✓	邪合三仙平	✓	zwien		cyun4
13861	㘥		以尤平	✓	以三尤平	✓	ju		jau4
13864	㘨		泥添入	✓	泥開四添入	✓	nep		nip6
13872	㘰		章侵平	✓	章開三侵平	✓	tjim		zam1
13873	㘱		透談平	✓	透開一談平	✓	tham		taam1
13874	㘲		見三東入	✓	見三C東入	✓	kuk		guk1
13883	㘻		影開A眞平	✓	影開三A真平	✓	qin		jan1
13887	㘿		泥開先入		泥開四先入	✓	net		nit6
13888	㙀		來尤去	✓	來三尤去	✓	luh		lau6
13889	㙁		明三東入	✓	明三C東入	✓	muk		muk6
13891	㙃		幫耕平		幫二耕平	✓	peeng		bang1
13892	㙄		並齊上	✓	並四齊上	✓	bejq		bai6
13895	㙇		徹鍾入	✓	徹三鍾入	✓	trhuok		cuk1
13898	㙊		澄開陽平	✓	澄開三陽平	✓	dryang		coeng4
13903	㙏		滂三東入	✓	滂三C東入	✓	phuk		fuk1
13913	㙙		來鍾上	✓	來三鍾上	✓	luongq		lung5
13920	㙠		影開齊去	✓	影開四齊去	✓	qejh		jai3
13920	㙠		影開齊平	✓	影開四齊平	✓	qej		jai1
13921	㙡		精鍾平	✓	精三鍾平		tsuong		zung1
13924	㙤		曉開二麻去	✓	曉開二麻去	✓	haeh		haa3
13928	㙨		羣開微平	✓	羣開三C微平	✓	gyj		kei4
13929	㙩		來宵去	✓	來開三宵去	✓	liewh		liu6
13929	㙩		來蕭平	✓	來開四蕭平	✓	lew		liu4
13930	㙪		影開B脂去	✓	影開三B脂去	✓	qyih		ji3
13930	㙪		影開齊去	✓	影開四齊去	✓	qejh		jai3
13937	㙱		匣豪去	✓	匣開一豪去	✓	ghawh		hou6
13938	㙲		影鍾去	✓	影三C鍾去		quongh		jung3
13940	㙴		昌鹽去	✓	昌開三鹽去	✓	tjhiemh		cim3
13943	㙷		澄侵入	✓	澄開三侵入	✓	drip		zap6
13943	㙷		澄鹽入	✓	澄開三鹽入	✓	driep		zip6
13947	㙻		澄開仙平	✓	澄開三仙平	✓	drien		cin4
13952	㚀		曉開B支平	✓	曉開三B支平	✓	hye		hei1
13953	㚁		溪B宵去	✓	溪開三B宵去	✓	khyewh		hiu3
13954	㚂		泥開唐去	✓	泥開一唐去	✓	nangh		nong6
13955	㚃		影文平	✓	影合三C文平	✓	qun		wan1
13957	㚅		來三東平	✓	來三東平	✓	lung		lung4
13958	㚆		並三東入	✓	並三C東入		buk		fuk6
13959	㚇		精一東去	✓	精一東去	✓	tsoungh		zung3
13959	㚇		精一東平	✓	精一東平	✓	tsoung		zung1
13962	㚊		溪咍平	✓	溪開一咍平	✓	kheoj		hoi1
13963	㚋		端蕭平	✓	端開四蕭平	✓	tew		diu1
